donor_id,name,phone,email,birthday,donation_type,donation_amount,payment_method,join_date,status,interest_area
D0027,한수민,010-6038-7734,han3018@naver.com,2006-01-25,정기후원,5000,신용카드,2024-10-14,활성,아동복지
D0028,장혜도,010-6012-3741,jang5635@nate.com,1983-01-17,정기후원,5000,간편결제,2023-12-04,활성,아동복지
D0029,안채선,010-1144-3886,ahn6359@naver.com,1975-08-14,정기후원,50000,신용카드,2025-10-18,활성,환경보호
D0030,송영,010-9204-7406,song4796@nate.com,1992-01-22,일시후원,100000,계좌이체,2026-01-16,완료,환경보호
D0031,임혜하,010-3324-7008,lim7999@hanmail.net,1965-04-12,정기후원,10000,간편결제,2024-06-24,중단,다문화가정
D0032,이성,010-6809-8018,lee7538@gmail.com,1979-06-11,일시후원,30000,신용카드,2025-11-14,완료,재난구호
D0033,오영도,010-3322-9548,oh9053@naver.com,2002-05-19,정기후원,20000,신용카드,2023-10-02,활성,환경보호
D0034,박희민,010-4836-7245,park4791@naver.com,1984-06-18,정기후원,20000,신용카드,2025-05-26,활성,재난구호
D0035,안주,010-3891-5402,ahn4939@nate.com,2001-02-25,정기후원,20000,간편결제,2025-06-01,활성,장애인복지
D0036,서동도,010-6020-1625,seo7322@daum.net,2006-04-23,정기후원,20000,신용카드,2023-09-16,활성,노인복지
D0037,서호미,010-6973-2508,seo3691@hanmail.net,1997-11-10,정기후원,50000,계좌이체,2026-06-15,활성,아동복지
D0038,홍도,010-1039-7759,hong5193@hanmail.net,1999-12-07,일시후원,10000,간편결제,2025-05-04,완료,노인복지
D0039,권주서,010-1408-7792,kwon432@daum.net,1996-03-26,정기후원,5000,계좌이체,2026-04-21,활성,장애인복지
D0040,장원지,010-6056-7420,jang683@hanmail.net,1990-05-07,정기후원,20000,간편결제,2026-03-08,활성,노인복지
D0041,오준민,010-8711-7311,oh9618@naver.com,1987-09-03,정기후원,5000,계좌이체,2026-02-15,활성,노인복지
D0042,홍영경,010-3174-4380,hong5801@naver.com,1964-11-13,정기후원,30000,신용카드,2023-10-10,활성,재난구호
D0043,윤도호,010-4633-9371,yoon1834@daum.net,1957-10-19,정기후원,100000,신용카드,2023-03-28,활성,장애인복지
D0044,이재,010-1843-6322,lee7932@daum.net,1975-08-27,정기후원,50000,간편결제,2024-12-17,활성,다문화가정
D0045,박희희,010-3752-8552,park1464@hanmail.net,1995-01-22,정기후원,10000,계좌이체,2023-03-28,활성,재난구호
D0046,황성경,010-1304-7953,hwang2941@hanmail.net,2000-08-14,일시후원,100000,계좌이체,2025-06-28,완료,환경보호
D0047,윤성준,010-2136-8651,yoon5817@naver.com,1969-09-29,정기후원,10000,계좌이체,2024-06-15,활성,노인복지
D0048,신하,010-2498-5936,shin9407@hanmail.net,1967-01-22,정기후원,50000,계좌이체,2026-04-10,활성,재난구호
D0049,송수,010-6612-3609,song756@hanmail.net,1957-01-16,정기후원,30000,계좌이체,2023-10-26,활성,환경보호
D0050,권윤동,010-1949-4296,kwon4733@daum.net,2004-10-14,정기후원,20000,신용카드,2026-01-18,활성,노인복지
D0051,한성우,010-5234-5168,han6041@gmail.com,1991-04-12,정기후원,100000,간편결제,2026-04-19,활성,재난구호
D0052,정성원,010-1068-4041,jung8055@gmail.com,1959-11-19,정기후원,30000,계좌이체,2024-10-28,활성,환경보호
D0053,윤철하,010-8697-4687,yoon8242@gmail.com,1996-05-09,정기후원,30000,간편결제,2025-12-19,중단,다문화가정
D0054,송진성,010-8975-1531,song3941@hanmail.net,1991-01-02,정기후원,5000,계좌이체,2025-08-05,활성,장애인복지
D0055,권지준,010-5149-4333,kwon1841@naver.com,1995-10-23,정기후원,50000,계좌이체,2026-06-16,활성,다문화가정
D0056,권진재,010-6128-8379,kwon7591@daum.net,1977-11-15,정기후원,50000,간편결제,2023-01-02,활성,재난구호
D0057,신원,010-3722-1582,shin3821@hanmail.net,1961-06-11,정기후원,10000,신용카드,2025-09-21,활성,장애인복지
D0058,장성서,010-5049-9552,jang3035@naver.com,1980-10-17,정기후원,30000,간편결제,2023-12-23,활성,재난구호
D0059,조민서,010-4567-9069,cho6185@daum.net,1983-04-29,정기후원,20000,계좌이체,2023-09-30,중단,재난구호
D0060,김채희,010-1120-2029,kim2757@gmail.com,1979-05-05,정기후원,50000,계좌이체,2024-09-26,활성,재난구호
D0061,박동지,010-2404-8626,park7691@daum.net,1972-03-24,정기후원,50000,계좌이체,2026-03-16,중단,노인복지
D0062,홍호희,010-2241-5213,hong3738@hanmail.net,1984-08-29,정기후원,50000,계좌이체,2023-08-12,활성,다문화가정
D0063,정주,010-6127-8646,jung7631@nate.com,1987-05-21,정기후원,50000,신용카드,2026-03-12,활성,재난구호
D0064,정훈재,010-5334-8587,jung5951@gmail.com,1977-02-17,정기후원,5000,신용카드,2023-01-05,활성,다문화가정
D0065,홍준현,010-5071-4537,hong449@hanmail.net,1972-05-22,정기후원,5000,간편결제,2023-09-11,활성,재난구호
D0066,전선,010-7866-3534,jeon7671@gmail.com,1999-01-09,정기후원,20000,신용카드,2026-05-11,활성,다문화가정
D0067,서채도,010-9479-7465,seo466@gmail.com,2001-08-28,정기후원,10000,신용카드,2025-03-14,활성,노인복지
D0068,송진윤,010-7269-5564,song1212@hanmail.net,1974-01-29,정기후원,100000,계좌이체,2023-11-03,활성,장애인복지
D0069,황민선,010-6556-3422,hwang2588@hanmail.net,1972-06-02,정기후원,10000,간편결제,2024-05-30,활성,재난구호
D0070,전미진,010-9199-5302,jeon1680@daum.net,1973-10-14,일시후원,10000,간편결제,2023-10-18,완료,아동복지
D0071,오영영,010-8519-3259,oh3385@nate.com,1999-12-04,정기후원,50000,신용카드,2026-02-15,활성,다문화가정
D0072,안채채,010-3102-8791,ahn4209@hanmail.net,1976-01-09,정기후원,10000,간편결제,2024-11-26,활성,장애인복지
D0073,장은주,010-4560-1622,jang120@naver.com,1987-06-19,정기후원,100000,간편결제,2024-08-17,활성,환경보호
D0074,권도민,010-7512-4399,kwon1552@gmail.com,1980-01-17,정기후원,10000,신용카드,2024-03-08,중단,아동복지
D0075,안윤도,010-2003-1733,ahn9445@daum.net,2005-05-15,정기후원,10000,간편결제,2023-02-16,활성,노인복지
D0076,오태지,010-2735-3676,oh4910@hanmail.net,2002-05-24,정기후원,20000,계좌이체,2023-03-04,활성,노인복지
D0077,박서은,010-4500-7891,park9710@hanmail.net,1986-08-01,정기후원,30000,계좌이체,2026-02-23,활성,장애인복지
D0078,강선서,010-1411-5635,kang8043@naver.com,1981-03-02,정기후원,100000,신용카드,2025-03-05,활성,아동복지
D0079,신영동,010-2240-8539,shin7907@daum.net,1956-03-03,정기후원,20000,계좌이체,2024-06-15,활성,장애인복지
D0080,신희영,010-6591-1156,shin4520@nate.com,2000-09-20,정기후원,5000,계좌이체,2023-11-05,활성,장애인복지
D0081,황혜민,010-8130-7338,hwang1378@daum.net,1978-11-14,정기후원,5000,간편결제,2025-02-03,활성,재난구호
D0082,박호경,010-8620-3086,park6896@nate.com,1993-12-03,일시후원,50000,간편결제,2025-06-05,완료,아동복지
D0083,조준준,010-4870-3279,cho6934@gmail.com,1985-10-19,정기후원,30000,간편결제,2024-10-15,중단,환경보호
D0084,송영성,010-7745-6102,song2053@nate.com,1967-09-17,정기후원,50000,신용카드,2026-03-09,활성,재난구호
D0085,서진,010-5118-3184,seo336@daum.net,1958-07-10,정기후원,5000,계좌이체,2025-01-08,활성,다문화가정
D0086,박성원,010-5751-9201,park6891@daum.net,1993-05-15,일시후원,200000,계좌이체,2023-05-22,완료,장애인복지
D0087,최미미,010-7440-9820,choi381@naver.com,2006-04-16,정기후원,10000,신용카드,2023-10-27,중단,아동복지
D0088,황영지,010-7754-1178,hwang2758@naver.com,1964-08-07,정기후원,10000,간편결제,2026-02-18,활성,아동복지
D0089,한예선,010-4002-9486,han1872@gmail.com,1976-04-27,정기후원,5000,신용카드,2023-03-27,활성,노인복지
D0090,김은은,010-9757-6603,kim2769@nate.com,1956-07-25,정기후원,100000,신용카드,2025-10-14,활성,노인복지
D0091,김철혜,010-8909-4848,kim3425@gmail.com,1968-07-22,정기후원,30000,간편결제,2024-10-03,활성,장애인복지
D0092,전진준,010-7748-5009,jeon3956@naver.com,1989-06-06,정기후원,100000,신용카드,2024-03-30,활성,노인복지
D0093,안성성,010-6434-6711,ahn1403@gmail.com,1989-12-05,정기후원,5000,신용카드,2023-03-23,활성,환경보호
D0094,윤윤희,010-4322-2882,yoon1131@daum.net,1974-10-23,정기후원,100000,계좌이체,2024-02-28,활성,노인복지
D0095,한재예,010-4388-1805,han4071@daum.net,1994-05-02,정기후원,20000,간편결제,2025-07-06,활성,재난구호
D0096,서혜희,010-5557-7803,seo741@hanmail.net,1982-04-09,정기후원,50000,간편결제,2025-10-29,활성,재난구호
D0097,강호,010-4463-4453,kang2039@naver.com,2000-06-05,정기후원,100000,신용카드,2025-04-06,활성,재난구호
D0098,임미예,010-9608-9487,lim2355@daum.net,1992-05-22,일시후원,50000,계좌이체,2024-01-06,완료,재난구호
D0099,강은경,010-4462-9314,kang2276@daum.net,2001-03-20,정기후원,100000,간편결제,2024-08-06,활성,아동복지
D0100,한진은,010-4279-2484,han2197@naver.com,1965-02-13,정기후원,50000,간편결제,2025-06-09,활성,환경보호
D0101,강태예,010-8092-9539,kang3103@naver.com,1982-02-16,정기후원,10000,간편결제,2025-11-13,활성,노인복지
D0102,김태서,010-8455-3527,kim8287@gmail.com,1996-01-23,정기후원,50000,신용카드,2026-05-07,활성,환경보호
D0103,최경,010-5394-8889,choi2810@naver.com,2005-01-29,일시후원,100000,신용카드,2025-07-31,완료,다문화가정
D0104,임호,010-5155-8484,lim538@hanmail.net,1975-04-28,정기후원,50000,간편결제,2023-09-27,활성,다문화가정
D0105,임진영,010-7664-8102,lim4681@hanmail.net,1998-04-23,정기후원,100000,간편결제,2024-09-08,활성,재난구호
D0106,김진,010-6732-5337,kim9833@hanmail.net,1981-06-14,정기후원,10000,계좌이체,2025-10-23,활성,노인복지
D0107,장호,010-8896-4510,jang1857@daum.net,1973-09-02,일시후원,10000,계좌이체,2026-05-15,완료,아동복지
D0108,정태영,010-9860-7337,jung1394@gmail.com,1982-07-09,정기후원,100000,계좌이체,2024-06-16,활성,아동복지
D0109,송진진,010-2714-3752,song5057@hanmail.net,1960-08-12,정기후원,10000,계좌이체,2025-02-16,활성,아동복지
D0110,임미희,010-3708-2351,lim7269@nate.com,1961-08-23,정기후원,10000,간편결제,2025-01-19,활성,재난구호
D0111,윤미예,010-9702-3384,yoon1176@nate.com,1959-02-05,정기후원,5000,신용카드,2024-10-25,활성,재난구호
D0112,신도민,010-5321-1904,shin2258@gmail.com,1985-03-06,정기후원,20000,계좌이체,2024-09-21,활성,다문화가정
D0113,송경진,010-8816-5130,song2543@naver.com,1968-12-23,정기후원,5000,신용카드,2025-09-28,활성,환경보호
D0114,박은,010-2529-8037,park803@daum.net,1983-10-02,일시후원,50000,간편결제,2024-05-19,완료,아동복지
D0115,김희원,010-9350-8247,kim3778@nate.com,1990-11-30,정기후원,5000,계좌이체,2026-01-20,활성,노인복지
D0116,박영예,010-8389-6500,park1664@hanmail.net,1975-01-12,정기후원,10000,간편결제,2023-12-27,중단,노인복지
D0117,권재영,010-7416-4859,kwon8794@hanmail.net,1971-04-30,정기후원,100000,신용카드,2024-02-29,활성,아동복지
D0118,오재도,010-1656-6294,oh8795@nate.com,1975-09-19,일시후원,50000,간편결제,2024-05-29,완료,노인복지
D0119,오진,010-2204-8184,oh2168@nate.com,1976-12-17,정기후원,30000,간편결제,2026-05-21,활성,재난구호
D0120,송주영,010-8381-5804,song6207@daum.net,1966-12-06,정기후원,50000,신용카드,2025-02-24,중단,환경보호
D0121,홍성민,010-6190-3048,hong4442@naver.com,1974-08-28,정기후원,100000,계좌이체,2025-03-20,활성,장애인복지
D0122,전진희,010-9496-3431,jeon1184@gmail.com,1996-06-10,정기후원,10000,신용카드,2024-08-18,중단,노인복지
D0123,신태,010-7544-7629,shin720@hanmail.net,1977-01-01,정기후원,50000,신용카드,2023-10-17,중단,환경보호
D0124,송민은,010-1641-4114,song477@gmail.com,1976-05-05,정기후원,50000,계좌이체,2023-03-23,활성,아동복지
D0125,조희태,010-2118-2808,cho8494@daum.net,1962-07-25,일시후원,100000,계좌이체,2025-03-15,완료,장애인복지
D0126,권경민,010-1551-5899,kwon3070@hanmail.net,1964-11-13,정기후원,10000,계좌이체,2024-09-06,활성,다문화가정
D0127,강진영,010-3409-5152,kang4479@hanmail.net,1964-05-16,정기후원,20000,계좌이체,2025-06-23,활성,다문화가정
D0128,조서민,010-6210-1803,cho339@daum.net,1971-05-11,일시후원,10000,간편결제,2023-01-05,완료,장애인복지
D0129,박윤,010-2606-6509,park6679@nate.com,1995-01-19,정기후원,50000,계좌이체,2023-08-02,활성,노인복지
D0130,서영수,010-5013-2890,seo9008@naver.com,1998-08-02,정기후원,5000,신용카드,2024-04-22,활성,환경보호
D0131,최민,010-1556-1628,choi3121@nate.com,1976-06-01,정기후원,100000,계좌이체,2025-03-16,활성,장애인복지
D0132,신혜원,010-3030-3707,shin6329@nate.com,1979-06-07,일시후원,30000,간편결제,2023-10-05,완료,장애인복지
D0133,최민,010-9254-4606,choi7105@naver.com,1956-11-19,정기후원,30000,계좌이체,2026-03-26,활성,노인복지
D0134,서경수,010-7127-1107,seo5839@hanmail.net,1967-10-31,정기후원,5000,신용카드,2024-09-26,중단,장애인복지
D0135,이원성,010-9321-8513,lee3868@hanmail.net,1983-11-06,정기후원,20000,간편결제,2025-11-09,활성,장애인복지
D0136,조성,010-8353-1664,cho345@hanmail.net,1995-10-16,일시후원,50000,신용카드,2025-03-02,완료,아동복지
D0137,박민도,010-2229-7980,park3076@gmail.com,1972-11-11,정기후원,30000,계좌이체,2023-08-14,활성,재난구호
D0138,홍혜재,010-3592-9432,hong7445@gmail.com,1964-09-03,정기후원,20000,계좌이체,2025-06-07,중단,아동복지
D0139,강원지,010-3807-3701,kang9445@nate.com,1957-02-01,정기후원,30000,계좌이체,2023-11-25,활성,환경보호
D0140,한성,010-1458-3347,han3276@nate.com,1976-07-11,일시후원,100000,신용카드,2025-04-26,완료,노인복지
D0141,권미훈,010-3567-9038,kwon6470@gmail.com,1958-11-29,정기후원,10000,신용카드,2025-05-27,활성,다문화가정
D0142,송하선,010-1006-8974,song3793@gmail.com,1977-03-14,정기후원,10000,계좌이체,2023-11-05,활성,아동복지
D0143,황민도,010-8649-6602,hwang7048@nate.com,1994-12-09,정기후원,30000,신용카드,2026-06-06,활성,장애인복지
D0144,최호희,010-4753-6432,choi8509@daum.net,1991-01-05,정기후원,100000,간편결제,2023-09-29,활성,재난구호
D0145,황아,010-6260-3473,hwang6890@daum.net,2001-04-06,정기후원,100000,신용카드,2024-04-29,활성,다문화가정
D0146,안예미,010-5525-2443,ahn9103@gmail.com,1998-08-18,정기후원,10000,계좌이체,2023-02-03,활성,장애인복지
D0147,이성성,010-2448-4668,lee5326@hanmail.net,1975-10-04,일시후원,50000,신용카드,2024-11-04,완료,장애인복지
D0148,정민은,010-1030-5437,jung8589@naver.com,1977-06-19,정기후원,5000,계좌이체,2025-10-02,활성,장애인복지
D0149,권지,010-2293-3515,kwon6204@daum.net,1981-12-07,정기후원,10000,간편결제,2024-06-14,활성,장애인복지
D0150,황미채,010-2528-7766,hwang3629@naver.com,1964-11-23,정기후원,20000,간편결제,2023-03-13,활성,아동복지
D0151,송재,010-1192-1795,song4512@hanmail.net,2005-04-23,정기후원,10000,간편결제,2025-09-23,활성,장애인복지
D0152,정영준,010-5100-8587,jung6895@gmail.com,1972-06-15,정기후원,10000,계좌이체,2025-05-05,활성,다문화가정
D0153,안현선,010-8736-4352,ahn5696@hanmail.net,1996-12-24,정기후원,100000,신용카드,2024-09-27,활성,노인복지
D0154,한영,010-3098-4803,han6104@daum.net,1986-10-01,정기후원,30000,신용카드,2024-03-02,활성,아동복지
D0155,권경태,010-2388-1897,kwon4560@naver.com,1987-10-29,정기후원,100000,신용카드,2024-10-29,활성,재난구호
D0156,서영훈,010-1797-5010,seo7077@naver.com,1965-09-19,정기후원,100000,계좌이체,2024-05-30,활성,다문화가정
D0157,박민도,010-5141-7388,park4401@gmail.com,1982-04-25,정기후원,50000,계좌이체,2023-03-13,활성,장애인복지
D0158,조진수,010-7153-6694,cho7559@gmail.com,1974-10-05,정기후원,5000,간편결제,2024-09-14,활성,아동복지
D0159,최주,010-9820-6991,choi2250@gmail.com,1964-08-23,정기후원,20000,간편결제,2023-05-18,중단,노인복지
D0160,최원도,010-6112-3097,choi390@gmail.com,1976-03-07,정기후원,100000,신용카드,2024-03-09,활성,재난구호
D0161,신은,010-3007-4944,shin5713@nate.com,1988-12-05,일시후원,500000,계좌이체,2024-09-09,완료,장애인복지
D0162,조성,010-8716-5527,cho1929@hanmail.net,1958-09-30,정기후원,5000,간편결제,2023-02-11,활성,노인복지
D0163,전채채,010-8157-3663,jeon4643@hanmail.net,1962-03-09,정기후원,10000,계좌이체,2023-12-21,활성,아동복지
D0164,권은지,010-9877-7172,kwon2583@naver.com,1967-04-03,정기후원,50000,신용카드,2023-05-28,활성,장애인복지
D0165,오성희,010-3977-8855,oh5489@naver.com,1961-03-27,정기후원,20000,간편결제,2024-07-12,활성,아동복지
D0166,강성동,010-3723-6139,kang2619@nate.com,1999-01-31,정기후원,20000,신용카드,2023-05-24,활성,재난구호
D0167,서우성,010-1615-8069,seo6283@naver.com,1957-04-27,정기후원,100000,신용카드,2023-04-04,활성,환경보호
D0168,윤은,010-8880-2426,yoon6085@naver.com,2000-06-27,정기후원,5000,간편결제,2023-05-29,활성,장애인복지
D0169,송민진,010-9660-8653,song2206@daum.net,1968-05-13,정기후원,100000,신용카드,2024-06-10,중단,장애인복지
D0170,안선,010-9331-1318,ahn4392@hanmail.net,1988-03-07,정기후원,30000,계좌이체,2023-01-17,활성,다문화가정
D0171,전준민,010-3719-5366,jeon3731@hanmail.net,2000-09-08,정기후원,30000,신용카드,2025-04-24,활성,환경보호
D0172,윤예,010-6409-2047,yoon8974@hanmail.net,1981-06-14,정기후원,20000,신용카드,2025-02-06,활성,장애인복지
D0173,박미준,010-2780-9776,park8642@daum.net,1970-10-30,정기후원,50000,계좌이체,2025-08-31,활성,장애인복지
D0174,정호영,010-4982-8965,jung5084@naver.com,1994-01-18,일시후원,100000,계좌이체,2024-03-28,완료,재난구호
D0175,정우수,010-5550-9014,jung8474@gmail.com,1980-08-04,정기후원,20000,간편결제,2023-12-14,활성,다문화가정
D0176,황영주,010-1301-5102,hwang3852@naver.com,1996-09-27,일시후원,200000,신용카드,2023-10-31,완료,노인복지
D0177,박현준,010-7199-6107,park2612@hanmail.net,1999-04-02,정기후원,100000,신용카드,2025-04-08,활성,다문화가정
D0178,송진민,010-6551-5565,song6531@daum.net,1961-05-15,정기후원,20000,계좌이체,2024-08-07,활성,장애인복지
D0179,정지,010-1804-7974,jung1492@nate.com,1999-02-04,정기후원,50000,계좌이체,2024-03-08,활성,장애인복지
D0180,송태호,010-7406-3896,song1722@naver.com,1970-05-04,정기후원,10000,간편결제,2026-04-07,활성,아동복지
D0181,전원미,010-5569-5522,jeon6958@hanmail.net,1995-09-23,정기후원,30000,간편결제,2026-02-03,활성,장애인복지
D0182,황진혜,010-6308-6516,hwang5940@daum.net,1987-08-17,정기후원,50000,간편결제,2025-04-12,활성,노인복지
D0183,조예서,010-7530-8605,cho3409@gmail.com,2003-11-20,정기후원,30000,간편결제,2026-06-06,활성,노인복지
D0184,권은,010-8629-1423,kwon7372@naver.com,1997-08-21,일시후원,10000,신용카드,2025-03-07,완료,다문화가정
D0185,신민현,010-8897-7904,shin5669@nate.com,1972-10-09,일시후원,30000,계좌이체,2025-04-26,완료,아동복지
D0186,송예은,010-2405-8241,song6251@daum.net,2006-02-10,정기후원,50000,간편결제,2024-06-07,활성,다문화가정
D0187,이민,010-2504-8569,lee8204@gmail.com,1965-09-16,정기후원,100000,계좌이체,2024-01-20,활성,아동복지
D0188,오지민,010-6564-9606,oh6088@nate.com,1977-10-08,정기후원,100000,간편결제,2025-09-14,활성,다문화가정
D0189,임희,010-5645-7830,lim7893@nate.com,1992-05-22,일시후원,100000,신용카드,2025-10-22,완료,재난구호
D0190,한지성,010-9875-9291,han2652@hanmail.net,1978-07-21,정기후원,100000,간편결제,2024-05-10,활성,환경보호
D0191,한훈,010-6638-5001,han3476@daum.net,2000-06-14,정기후원,50000,간편결제,2023-02-13,활성,다문화가정
D0192,강예지,010-3515-9839,kang1573@naver.com,1987-11-17,정기후원,5000,계좌이체,2023-06-20,활성,아동복지
D0193,정태주,010-6954-7808,jung8774@nate.com,1962-11-18,정기후원,50000,간편결제,2023-08-10,활성,노인복지
D0194,황윤,010-7113-4258,hwang4676@daum.net,1961-09-08,정기후원,100000,계좌이체,2024-07-13,활성,다문화가정
D0195,박민준,010-8583-3212,park8648@daum.net,2001-02-27,정기후원,50000,신용카드,2026-04-28,활성,장애인복지
D0196,홍경지,010-4310-9500,hong8623@hanmail.net,1999-12-24,정기후원,30000,계좌이체,2025-08-18,활성,재난구호
D0197,홍동주,010-9536-2551,hong1655@naver.com,2005-11-25,정기후원,5000,간편결제,2024-08-15,활성,다문화가정
D0198,오수영,010-9802-4074,oh4162@nate.com,2004-07-27,일시후원,50000,신용카드,2026-05-14,완료,노인복지
D0199,임하호,010-5005-9940,lim8089@nate.com,1998-10-11,정기후원,5000,간편결제,2024-01-24,활성,아동복지
D0200,이민,010-7088-3689,lee5023@nate.com,1998-09-23,정기후원,20000,신용카드,2023-05-19,활성,환경보호
